category,category_id
DVD & Video Shopping,210
Family Films,1291
Film & TV Awards,1108
Horror Films,615
Movie Memorabilia,213
Movie Reference,1106
Musical Films,1105
Romance Films,1310
Science Fiction & Fantasy Films,616
"Thriller, Crime & Mystery Films",1096
CD & Audio Shopping,217
Classical Music,586
Country Music,587
Dance & Electronic Music,588
Experimental & Industrial Music,1022
Folk & Traditional Music,1023
Jazz & Blues,589
Latin Pop,1285
Music Art & Memorabilia,218
Music Education & Instruction,1087
Music Equipment & Technology,1024
Music Reference,1027
Music Streams & Downloads,220
Pop Music,1021
Radio,215
Religious Music,1020
Rock Music,590
Soundtracks,893
Urban & Hip-Hop,592
Vocals & Show Tunes,618
World Music,593
Edgy & Bizarre,538
Occult & Paranormal,449
Online Image Galleries,1222
Online Video,211
Webcams & Virtual Tours,575
Acting & Theater,894
Broadway & Musical Theater,1243
Dance,581
Opera,1185
TV Commercials,1055
TV Guides & Reference,1187
TV Networks & Stations,359
TV Shows & Programs,358
Architecture,477
Art & Craft Supplies,1361
Arts Education,1195
Design,653
Painting,1167
Cargo Trucks & Trailers,1215
Electric & Plug-In Vehicles,1380
SUVs,1057
Trucks,1056
Vans & Minivans,1058
Acura,820
Audi,821
Bentley,1059
BMW,822
Buick,1060
Cadillac,823
Chevrolet,826
Chrysler,833
Citroën,834
Dodge,836
Ferrari,1061
Fiat,838
Ford,840
GM-Daewoo,896
GMC,842
Honda,843
Hummer,1062
Hyundai,845
Isuzu,1378
Jaguar,1063
Jeep,846
Kia,848
Lamborghini,1064
Land Rover,1065
Lexus,849
Lincoln,850
Maserati,1066
Mazda,851
Mercedes-Benz,852
Mercury,853
Mini,1067
Mitsubishi,854
Nissan,855
Peugeot,856
Pontiac,857
Porsche,858
Renault-Samsung,859
Rolls-Royce,1068
Saab,897
Saturn,860
Subaru,861
Suzuki,1070
Toyota,863
Vauxhall-Opel,898
Volkswagen,865
Volvo,867
Drunk Driving Law,968
Auto Exterior,1217
Auto Interior,1218
Car Electronics,1188
Engine & Transmission,1216
Vehicle Fuels & Lubricants,1269
Vehicle Wheels & Tires,438
Fuel Economy & Gas Prices,1268
"Vehicle Specs, Reviews & Comparisons",1267
Cosmetic Surgery,238
Hygiene & Toiletries,244
Make-Up & Cosmetics,234
Perfumes & Fragrances,242
Skin & Nail Care,93
Unwanted Body & Facial Hair Removal,144
Fashion Designers & Collections,98
Fashion Modeling,1155
Bodybuilding,241
Yoga & Pilates,611
Hair Loss,235
Massage Therapy,557
Marketing Services,83
Public Relations,327
Search Engine Optimization & Marketing,84
Telemarketing,328
Defense Industry,669
Space Technology,668
Agricultural Equipment,748
Aquaculture,747
Crops & Seed,749
Food Production,621
Forestry,750
Horticulture,751
Livestock,752
Commercial Lending,1160
Investment Banking,1139
Risk Management,620
Venture Capital,905
Company News,1179
Economy News,1164
Financial Markets,1163
Fiscal Policy News,1165
Business Plans & Presentations,336
Human Resources,157
Management,338
Consulting,1162
Corporate Events,334
E-Commerce Services,340
Fire & Security Services,726
Knowledge Management,800
Office Services,28
Office Supplies,95
Outsourcing,718
Physical Asset Management,719
Quality Control & Tracking,720
Signage,1076
Writing & Editing Services,725
Agrochemicals,670
Cleaning Agents,671
Coatings & Adhesives,672
Dyes & Pigments,673
Plastics & Polymers,674
Building Materials & Supplies,650
Civil Engineering,651
Construction Consulting & Contracting,652
Urban & Regional Planning,686
Electricity,658
Nuclear Energy,954
Oil & Gas,659
Renewable & Alternative Energy,657
Waste Management,660
Water Supply & Treatment,1349
Customer Relationship Management (CRM),341
Data Management,343
Enterprise Resource Planning (ERP),342
Event Planning,956
Food Service,957
Fluid Handling,1152
Generators,835
Heavy Machinery,837
Factory Automation,661
Document & Printing Services,332
Retail Equipment & Technology,844
Business Formation,1200
Home Office,727
MLM & Business Opportunities,552
Aviation,662
Distribution & Logistics,664
Freight & Trucking,289
Import & Export,354
Mail & Package Delivery,1150
Maritime Transport,665
Moving & Relocation,291
Packaging,290
Parking,1306
Public Storage,1347
Rail Transport,666
Urban Transport,667
Computer Components,717
Computer Drives & Storage,496
Computer Peripherals,312
Computer Servers,728
Desktop Computers,309
Hardware Modding & Tuning,739
Laptops & Notebooks,310
Antivirus & Malware,315
Network Security,344
Audio Equipment,361
Camera & Photo Equipment,573
Electronic Accessories,1192
Gadgets & Portable Electronics,362
Game Systems & Consoles,899
GPS & Navigation,794
TV & Video Equipment,229
Data Sheets & Electronics Reference,900
Electromechanical Devices,743
Electronic Components,742
Optoelectronics & Fiber,744
Power Supplies,745
Test & Measurement,746
Data Formats & Protocols,488
Distributed & Parallel Computing,1298
Network Monitoring & Management,347
Networking Equipment,346
VPN & Remote Access,1279
C & C++,731
Developer Jobs,802
Development Tools,730
Java,732
Scripting Languages,733
Windows & .NET,734
Business & Productivity Software,498
Device Drivers,225
Educational Software,804
Freeware & Shareware,901
Internet Software,807
Mobile Apps & Add-Ons,1109
Multimedia Software,497
Open Source,313
Operating Systems,303
Software Utilities,224
Accounting & Financial Software,1341
Tax Preparation & Planning,1283
Auto Financing,468
College Financing,813
Credit Cards,811
Debt Management,812
Home Financing,466
Auto Insurance,467
Health Insurance,249
Home Insurance,465
Commodities & Futures Trading,904
Beer,404
Liquor,406
Wine,405
Baked Goods,907
Fruits & Vegetables,908
Meat & Seafood,909
Soups & Stews,910
Vegetarian Cuisine,825
World Cuisines,911
Coffee & Tea,916
Dining Guides,917
Fast Food,918
Restaurant Supply,816
Chess & Abstract Strategy Games,921
Miniatures & Wargaming,922
Collectible Card Games,923
Poker & Casino Games,924
Action & Platform Games,1311
Adventure Games,925
Casual Games,926
Driving & Racing Games,927
Fighting Games,928
Gaming Media & Reference,1343
Music & Dance Games,929
Shooter Games,930
Simulation Games,931
Sports Games,932
Strategy Games,933
Video Game Emulation,1342
Video Game Retailers,1146
Drawing & Coloring,1397
Massive Multiplayer,935
Billiards,939
Table Tennis,940
Alzheimer's Disease,624
Acupuncture & Chinese Medicine,1239
Cleansing & Detoxification,1238
AIDS & HIV,625
Allergies,626
Arthritis,628
Cancer,429
Cold & Flu,629
Diabetes,630
Ear Nose & Throat,1211
Eating Disorders,571
Endocrine Conditions,1328
Genetic Disorders,941
GERD & Digestive Disorders,638
Heart & Hypertension,559
Infectious Diseases,632
Injury,817
Neurological Disorders,942
Obesity,818
Pain Management,819
Respiratory Conditions,824
Skin Conditions,420
Sleep Disorders,633
Health Policy,1256
Assistive Technology,1352
Doctors' Offices,634
Hospitals & Treatment Centers,250
Medical Procedures,635
Physical Therapy,500
Medical Photos & Illustration,945
Erectile Dysfunction,202
Anxiety & Stress,639
Depression,640
Learning & Developmental Disabilities,641
Assisted Living & Long Term Care,649
Special & Restricted Diets,457
Vitamins & Supplements,237
Drugs & Medications,646
Occupational Health & Safety,644
Poisons & Overdoses,946
Vaccines & Immunizations,1263
Birth Control,198
Infertility,647
OBGYN,558
Sex Education & Counseling,536
Sexual Enhancement,1236
Sexually Transmitted Diseases,421
Drug & Alcohol Testing,1351
Drug & Alcohol Treatment,1350
Smoking & Smoking Cessation,1237
Steroids & Performance-Enhancing Drugs,1235
Eyeglasses & Contacts,1224
Lottery & Sweepstakes,364
Fiber & Textile Arts,1230
Equestrian,568
Fishing,462
Hiking & Camping,542
Hunting & Shooting,461
Photo & Video Software,577
Holidays & Seasonal Events,678
Weddings,293
Goth Subculture,503
Science Fiction & Fantasy,676
Boating,459
Diving & Underwater Activities,1305
Surf & Swim,689
Bathroom,1365
Bedroom,1366
Cleaning Supplies & Services,949
Major Kitchen Appliances,1293
Small Kitchen Appliances,1292
Water Filters & Purifiers,1371
Clocks,1363
Lamps & Lighting,272
Rugs & Carpets,1362
Sofas & Chairs,1370
Construction & Power Tools,950
Doors & Windows,827
Flooring,832
House Painting & Finishing,1232
Plumbing,1153
Roofing,1175
Cookware & Diningware,120
Radio Equipment,1182
Microblogging,1381
Text & Instant Messaging,1379
Voice & Video Chat,386
Mobile & Wireless Accessories,1171
Mobile OS,1382
Mobile Phones,390
People Search,1234
Cable & Satellite Providers,501
ISPs,104
Phone Service Providers,384
Affiliate Programs,326
Web Design & Development,422
Web Hosting & Domain Registration,53
Web Stats & Analytics,675
Academic Conferences & Publications,1289
Alumni & Reunions,1015
Colleges & Universities,372
Distance Learning,367
Early Childhood Education,1012
Foreign Language Study,1266
Homeschooling,791
Legal Education,792
Primary & Secondary Schooling (K-12),371
Special Education,1118
Standardized & Admissions Tests,373
Study Abroad,1308
Teaching & Classroom Resources,700
Training & Certification,1388
Vocational & Continuing Education,369
Career Resources & Planning,959
Job Listings,960
Resumes & Portfolios,961
Courts & Judiciary,1075
Embassies & Consulates,962
Executive Branch,963
Government Agencies,1387
Government Contracting & Procurement,1385
Intelligence & Counterterrorism,1221
Legislative Branch,964
Lobbying,1386
Multilateral Organizations,965
Public Finance,1161
Public Policy,1316
Royalty,702
State & Local Government,966
Visa & Immigration,555
Accident & Personal Injury Law,427
Bankruptcy,423
Business & Corporate Law,1272
Constitutional Law & Civil Rights,967
Criminal Law,424
Family Law,522
Intellectual Property,426
Labor & Employment Law,701
Legal Services,969
Product Liability,970
Air Force,1247
Army,1248
Marines,1250
Military History,1288
Navy,1249
Veterans,793
Crime & Justice,704
Emergency Services,168
Law Enforcement,535
Security Products & Services,705
Counseling Services,511
Welfare & Unemployment,706
Scandals & Investigations,1259
Campaigns & Elections,398
Left-Wing Politics,410
Media Critics & Watchdogs,1203
Opinion & Commentary,1201
Political Polls & Surveys,1202
Right-Wing Politics,409
Matrimonial Services,546
Personals,102
Photo Rating Sites,320
Clip Art & Animated GIFs,1223
Skins Themes & Wallpapers,578
Social Network Apps & Add-Ons,847
Photo & Image Sharing,978
Video Sharing,979
Africans & Diaspora,579
Arabs & Middle Easterners,556
Asians & Diaspora,1257
Discrimination & Identity Relations,1205
Eastern Europeans,682
Expatriate Communities,973
Gay-Lesbian-Bisexual-Transgender,113
Indigenous Peoples,681
Jewish Culture,550
Latinos & Latin-Americans,548
Western Europeans,683
Etiquette,1304
Family,1132
Friendship,1134
Marriage,1133
Romance,1135
Troubled Relationships,1260
Children's Interests,679
Teen Interests,680
Astrology & Divination,448
Buddhism,862
Christianity,864
Hinduism,866
Islam,868
Judaism,869
Pagan & Esoteric Traditions,1258
Places of Worship,1296
Scientology,1251
Self-Help & Motivational,870
Skeptics & Non-Believers,975
Spirituality,101
Theology & Religious Study,1340
Animal Welfare,883
Charity & Philanthropy,57
Drug Laws & Policy,1314
Environmental Issues,82
Housing & Development,1166
Human Rights & Liberties,1280
Immigration Policy & Border Issues,1313
Poverty & Hunger,1127
Privacy Issues,1281
Reproductive Rights,976
Same-Sex Marriage,1301
Work & Labor Issues,703
Communications & Media Studies,1302
Demographics,510
Economics,520
International Relations,521
Psychology,543
Pet Food & Supplies,379
Veterinarians,380
Birds,884
Cats,885
Dogs,886
Exotic Pets,607
Fish & Aquaria,887
Horses,888
Rabbits & Rodents,889
Reptiles & Amphibians,890
Insects & Entomology,1278
Zoos-Aquariums-Preserves,1009
Business & Personal Listings,377
Calculators & Reference Tools,691
Dictionaries & Encyclopedias,692
Educational Resources,374
Forms Guides & Templates,693
"How-To, DIY & Expert Content",694
Public Records,1136
Time & Calendars,695
City & Local Guides,1014
Maps,268
History,433
Myth & Folklore,609
Philosophy,1093
Foreign Language Resources,1264
Anatomy,788
Flora & Fauna,981
Genetics,982
Neuroscience,1226
Computer Education,1229
Machine Learning & Artificial Intelligence,1299
Atmospheric Science,1254
Geology,443
Paleontology,1169
Water & Marine Sciences,441
Climate Change & Global Warming,1255
Robotics,1141
Statistics,1252
Apparel Services,1228
Athletic Apparel,983
Casual Apparel,984
Children's Clothing,985
Clothing Accessories,124
Costumes,988
Eyewear,989
Footwear,697
Formal Wear,990
Headwear,991
Men's Clothing,992
Outerwear,993
Sleepwear,994
Swimwear,995
Undergarments,530
Uniforms & Workwear,996
Women's Clothing,997
Consumer Advocacy & Protection,97
Coupons & Discount Offers,365
Customer Services,450
Product Reviews & Price Comparisons,353
Entertainment Media Rentals,1144
Cards & Greetings,100
Flowers,323
Gifts,99
Party & Holiday Supplies,324
Stock Photography,574
Sports Memorabilia,1083
Boxing,515
Martial Arts,516
Wrestling,512
Drag & Street Racing,1206
Stunts & Dangerous Feats,1207
Golf,261
Gymnastics,519
Racquet Sports,262
Skate Sports,1126
Track & Field,518
American Football,258
Baseball,259
Basketball,264
Cheerleading,534
Cricket,296
Handball,1017
Hockey,260
Rugby,517
Soccer,294
Volleyball,699
Ice Skating,1149
Skiing & Snowboarding,1148
Olympics,513
Airport Parking & Transportation,1245
Adventure Travel,707
Agritourism,1389
Ecotourism,1005
Sightseeing Tours,1390
Vineyards & Wine Tourism,1391
Beaches & Islands,1074
Historical Sites & Buildings,1006
Lakes & Rivers,1120
Mountain & Ski Resorts,1119
Regional Parks & Gardens,1007
Theme Parks,1008
Tourist Boards & Visitor Centers,1392
Vacation Offers,1019
Film & TV Production,1117
Music Awards,1113
Record Labels,1114
Martial Arts Films,1101
Superhero Films,1100
Western Films,1099
Silent Films,1098
DVD & Video Rentals,1145
Movie Reviews & Previews,1107
Blues,1040
Jazz,42
DJ Resources & Equipment,1025
Music Recording Technology,1026
Musical Instruments,216
Samples & Sound Libraries,1091
Music Composition & Theory,1028
Sheet Music,892
Song Lyrics & Tabs,617
Podcasting,809
Talk Radio,1186
Christian & Gospel Music,585
Classic Rock & Oldies,1037
Hard Rock & Progressive,1035
Indie & Alternative Music,1038
Metal (Music),1036
Punk (Music),1041
Rap & Hip-Hop,1030
Reggaeton,1242
Soul & R&B,1039
African Music,1208
Arab & Middle Eastern Music,1034
East Asian Music,1033
Latin American Music,591
Reggae & Caribbean Music,1031
South Asian Music,1032
TV Dramas,1193
TV Family-Oriented Shows,1110
TV Game Shows,1050
TV Reality Shows,1049
TV Sci-Fi & Fantasy Shows,1112
TV Talk Shows,1048
Graphic Design,654
Industrial & Product Design,655
Interior Design,656
Infiniti,1377
Scion,1069
Car Audio,230
Car Video,1189
Loyalty Cards & Programs,1309
Company Earnings,1240
Mergers & Acquisitions,1241
Compensation & Benefits,723
Corporate Training,331
Payroll Services,724
Recruitment & Staffing,330
Business Process,721
Project Management,1360
Strategic Planning,722
Supply Chain Management,801
Trade Shows & Conventions,335
Merchant Services & Payment Systems,280
Office & Facilities Management,337
Business Cards & Stationary,1375
Office Furniture,333
"Printers, Copiers & Fax",1330
Nails Screws & Fasteners,829
Plumbing Fixtures & Equipment,830
Wood & Plastics,831
Recycling,1307
Valves Hoses & Fittings,839
Couriers & Messengers,663
Chips & Processors,741
Computer Memory,226
Sound & Video Cards,740
CD & DVD Drives & Burners,1321
CD & DVD Storage Media,1322
Data Backup & Recovery,1323
Flash Drives & Memory Cards,1318
Hard Drives,1320
Memory Card Readers,1319
Network Storage,729
Computer Monitors & Displays,487
Input Devices,493
Tablet PCs,1277
Headphones,1396
MP3 & Portable Media Players,227
Speakers,1158
Stereo Systems & Components,91
"Binoculars, Telescopes & Optical Devices",1384
Cameras & Camcorders,306
E-Book Readers,1324
Handheld Game Consoles,1046
PDAs & Handhelds,228
Nintendo,1043
Sony PlayStation,1044
Xbox,1045
DVRs & Set-Top Boxes,1393
Home Theater Systems,1157
Projectors & Screens,1334
Televisions,305
Video Players & Recorders,492
Calendar & Scheduling Software,1358
Presentation Software,1346
Project Management Software,1359
Spreadsheet Software,1344
Word Processing Software,1345
Content Management,808
Internet Clients & Browsers,304
Proxying & Filtering,902
Ringtones & Mobile Goodies,532
Audio & Music Software,1089
Desktop Publishing,1088
Graphics & Animation Software,486
Media Players,1090
Linux & Unix,736
Mac OS,735
Windows OS,737
Asian Cuisine,912
Latin American Cuisine,913
Mediterranean Cuisine,914
North American Cuisine,915
Game Cheats & Hints,381
Thyroid Conditions,1329
Parasites & Parasitic Diseases,1262
Headaches & Migraines,631
Asthma,627
Mobility Equipment & Accessories,1353
Medical Tests & Exams,943
Surgery,944
ADD & ADHD,642
Cholesterol Issues,643
Pregnancy & Maternity,401
Video File Formats & Codecs,1315
Birthdays & Name Days,1270
Carnival & Mardi Gras,1246
Christian Holidays,1274
Halloween & October 31st,1079
Islamic Holidays,1275
Jewish Holidays,1124
New Year,1271
Thanksgiving,1125
Valentine's Day,1122
Bedding & Bed Linens,1369
Beds & Headboards,1367
Mattresses,1368
Cutlery & Cutting Accessories,1373
Bluetooth Accessories,1170
Smart Phones,1071
Calling Cards,389
Corporate & Financial Crime,1181
Gangs & Organized Crime,1312
Prisons & Corrections,1284
African-Americans,547
East Asians & Diaspora,549
South Asians & Diaspora,528
Southeast Asians & Pacific Islanders,580
Native Americans,171
Ancestry & Genealogy,400
Baby & Pet Names,1231
Parenting,58
Divorce & Separation,1261
Unions & Labor Movement,1121
Public Speaking,1303
Legal Forms,1137
Traffic & Public Transit,685
Translation Tools & Resources,1265
T-Shirts,428
Gems & Jewelry,350
Handbags & Purses,986
Watches,987
Warranties & Service Contracts,451
Price Comparisons,352
Tennis,1376
Drums & Percussion,1327
Guitars,1325
Pianos & Keyboards,1326
Brazilian Music,1287
Salsa & Tropical Music,1286
TV Crime & Legal Shows,1111
TV Medical Shows,1194
TV Soap Operas,357
Copiers,1331
Fax Machines,1332
Ink & Toner,1333
Printers,494
Scanners,495
Camcorders,308
Camera Lenses,1383
Cameras,307
HDTVs,1354
LCD TVs,1356
Plasma TVs,1355
Projection TVs,1357
Blu-Ray Players & Recorders,1394
DVD Players & Recorders,1395
Audio Files Formats & Codecs,1092
Fonts,805
Christmas,1078
Easter,1123
Adoption,974
Babies & Toddlers,1374
Child Care,403
Youth Camps,402
Baby Care & Hygiene,115
