OBJECTID,STATE,STFIPS,Shape__Area,Shape__Length,f3,f4,f5,f6,YN,s4,f12,s13
11,Minnesota,27,459466182312.453,3825632.13262312,https://mn.gov/governor/assets/2a.%20EO%2020-33%20Final_tcm1055-427370.pdf,Effective Date: 4/8/2020,Expiration Date: 5/3/2020,Scope: Jurisdiction-wide,Y,https://mn.gov/governor/assets/3a. EO 20-20 FINAL SIGNED Filed_tcm1055-425020.pdf,,
12,Oregon,41,485303672423.605,3152829.7550972,https://www.oregon.gov/gov/Documents/executive_orders/eo_20-12.pdf,Effective Date: 3/23/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
13,New Hampshire,33,45888220736.6875,1142949.48137696,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,Effective Date: 3/27/2020,Expiration Date: 5/4/2020,Scope: Jurisdiction-wide,Y,,,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-26.pdf
14,Iowa,19,264744587861.453,2296491.31708934,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.04.16%20-%20Region%206.pdf?utm_medium=email&utm_source=govdelivery,Effective Date: 4/16/2020,Expiration Date: 4/30/2020,Scope: Selected counties,Y,,,
15,Massachusetts,25,38665157063.5781,1613884.00383616,https://www.mass.gov/news/dph-public-health-advisory-stay-at-home-advisory,Effective Date: 3/24/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
16,Nebraska,31,357728325882.805,2818945.77742125,,,,,N,,,
17,New York,36,234983613724.586,3513052.94436534,https://www.governor.ny.gov/news/no-20214-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,Effective Date: 4/7/2020,Expiration Date: 4/29/2020,Scope: Jurisdiction-wide,Y,,Any size,https://www.governor.ny.gov/news/no-20210-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency
18,Pennsylvania,42,205716555401.988,2036411.0161374,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,Effective Date: 4/1/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,,
19,Connecticut,09,23082830540.793,711068.447739477,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/04-2020/Governor-Lamont-Signs-Executive-Order-Providing-Residential-Rent-Protections,Effective Date: 4/10/2020,Expiration Date: 5/20/2020,Scope: Jurisdiction-wide,Y,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Signs-Executive-Order-Asking-Connecticut-Businesses-and-Residents-Stay-Safe,More than 5,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7N.pdf?la=en
20,Rhode Island,44,4855485791.125,485676.642266569,http://www.governor.ri.gov/documents/orders/Executive-Order-20-23.pdf,Effective Date: 4/10/2020,Expiration Date: 5/8/2020,Scope: Jurisdiction-wide,Y,http://www.governor.ri.gov/documents/orders/Executive-Order-20-14.pdf,More than 5,
21,New Jersey,34,33372417473.7305,1070213.64009609,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,Effective Date: 3/21/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,10 or more,
22,Indiana,18,160531166060.727,2085583.22717001,https://www.in.gov/gov/files/Executive%20Order%2020-22%20Extension%20of%20Stay%20at%20Home.pdf,Effective Date: 4/20/2020,Expiration Date: 5/1/2020,Scope: Jurisdiction-wide,Y,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,
23,Nevada,32,480710295744.023,3025639.3496421,https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Declaration-of-Emergency-Directive-010-Stay-at-Home-3-31-20.pdf,Effective Date: 3/31/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,,
24,Utah,49,368159146582.629,2556139.32471733,https://drive.google.com/file/d/1Ypzr9sM2b0XAqKYhR37aUkZMlmM-_5av/view,Effective Date: 4/10/2020,Expiration Date: 5/1/2020,Scope: Jurisdiction-wide,Y,https://coronavirus-download.utah.gov/Governor/Stay%20At%20Home%20Declaration.pdf,Any size,
25,California,06,647980099371.984,5237953.21457582,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,Effective Date: 3/19/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
26,Ohio,39,183622266716.309,2055517.31662626,https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-At-Home-Order-Amended-04-02-20.pdf,Effective Date: 4/6/2020,Expiration Date: 5/1/2020,Scope: Jurisdiction-wide,Y,https://coronavirus.ohio.gov/static/DirectorsOrderStayAtHome.pdf,,
27,Illinois,17,249471805015.59,2566522.59482397,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-18.aspx,Effective Date: 4/1/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-10.pdf,,
28,District of Columbia,11,282951305.265625,79807.777043863,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/MayorsOrder2020.063.pdf,Effective Date: 4/17/2020,Expiration Date: 5/15/2020,Scope: Jurisdiction-wide,Y,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/Mayor%27s%20Order%202020-054%20Stay%20at%20Home.pdf,,
29,Delaware,10,8823235390.89063,535395.889582851,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fifth-Modification-to-State-of-Emergency-03222020.pdf,Effective Date: 3/24/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
30,West Virginia,54,103034562243.145,2302232.61070942,https://governor.wv.gov/Documents/2020%20Executive%20Orders/STAY-AT-HOME-ORDER-MARCH-23-2020.pdf,Effective Date: 3/24/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
31,Maryland,24,41901371482.793,2728849.43577208,https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-FOURTH-AMENDED-3.30.20.pdf,Effective Date: 3/30/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
32,Colorado,08,447332531327.035,2708163.22527708,https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20044%20Safer%20at%20Home.pdf,Effective Date: 4/27/2020,Expiration Date: 5/26/2020,Scope: Jurisdiction-wide,Y,https://drive.google.com/file/d/1O1EDCY6-A6QBKxzDImCSF8bBBdOOI3Km/view,,
33,Kentucky,21,166357389176.859,2540552.85051396,https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf,Effective Date: 3/26/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
34,Kansas,20,348079147857.246,2531057.07694338,https://governor.kansas.gov/wp-content/uploads/2020/04/EO-20-24-Executed.pdf,Effective Date: 4/16/2020,Expiration Date: 5/3/2020,Scope: Jurisdiction-wide,Y,https://governor.kansas.gov/wp-content/uploads/2020/03/EO20-16.pdf,More than 10,https://governor.kansas.gov/wp-content/uploads/2020/04/20-18-Executed.pdf
35,Virginia,51,164269025571.203,3776968.0464757,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-55-Temporary-Stay-at-Home-Order-Due-to-Novel-Coronavirus-(COVID-19).pdf,Effective Date: 3/30/2020,Expiration Date: 6/10/2020,Scope: Jurisdiction-wide,Y,,,
36,Missouri,29,294869372716.848,2892120.68394809,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/stay-at-home-order-extended.pdf,Effective Date: 4/24/2020,Expiration Date: 5/3/2020,Scope: Jurisdiction-wide,Y,https://content.govdelivery.com/attachments/MOGOV/2020/04/03/file_attachments/1419322/Stay%20at%20Home%20Missouri%20Order.pdf,,
37,Arizona,04,433153530665.734,2831601.20782829,https://azgovernor.gov/file/34712/download?token=aWa7Jw6L,Effective Date: 4/29/2020,Expiration Date: 5/15/2020,Scope: Jurisdiction-wide,Y,https://azgovernor.gov/file/34365/download?token=6YdWos-F,10 or more,https://www.azdhs.gov/
38,Oklahoma,40,274823466003.301,3061748.47939419,https://www.sos.ok.gov/documents/executive/1928.pdf,Effective Date: 4/2/2020,Expiration Date: 5/2/2020,Scope: High-risk population,Y,,,
39,North Carolina,37,192351405675.906,4134707.95533362,https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,Effective Date: 3/30/2020,Expiration Date: 4/29/2020,Scope: Jurisdiction-wide,Y,,,
40,Tennessee,47,166289677399.754,2477541.89249458,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee27.pdf,Effective Date: 4/13/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee22.pdf,10 or more,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee17.pdf
41,Texas,48,946670613144.619,7793797.38420057,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-implementing-essential-services-and-activities-protocols,Effective Date: 4/2/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,,
42,New Mexico,35,465060756397.75,2883357.8416601,https://cv.nmhealth.org/wp-content/uploads/2020/04/DOH-PHO-4_6-.pdf,Effective Date: 4/7/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,https://cv.nmhealth.org/wp-content/uploads/2020/03/COVID-19-DOH-Order-fv.pdf,,
43,Alabama,01,190202120421.279,2121358.54302619,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,Effective Date: 4/4/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,10 or more,
44,Mississippi,28,175005329408.863,2681331.37528874,https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1477.pdf,Effective Date: 4/27/2020,Expiration Date: 5/11/2020,Scope: Jurisdiction-wide,Y,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1465.pdf,More than 10,
45,Georgia,13,214958449572.973,2430468.28073262,https://gov.georgia.gov/document/2020-executive-order/04232002/download,Effective Date: 4/23/2020,Expiration Date: 5/13/2020,Scope: Jurisdiction-wide,Y,https://gov.georgia.gov/document/2020-executive-order/04022001/download,,
46,South Carolina,45,116415199403.25,1935056.67449953,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-06%20eFILED%20Executive%20Order%20No.%202020-21%20-%20Stay%20at%20Home%20or%20Work%20Order.pdf,Effective Date: 4/7/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
47,Arkansas,05,204294540214.719,2514666.73810007,,,,,N,,,
48,Louisiana,22,162486475097.033,3846229.55757084,https://gov.louisiana.gov/assets/Proclamations/2020/modified/41-JBE-2020-Public-Health-Emergency.pdf,Effective Date: 4/2/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,https://gov.louisiana.gov/assets/Proclamations/2020/JBE-33-2020.pdf,,
49,Florida,12,188619344219.232,4858553.89505506,https://s33330.pcdn.co/wp-content/uploads/2020/04/EO-20-91.pdf,Effective Date: 4/3/2020,Expiration Date: 4/30/2020,Scope: Jurisdiction-wide,Y,,,
50,Michigan,26,293623168367.684,5229581.40495616,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-526894--,00.html",Effective Date: 4/24/2020,Expiration Date: 5/15/2020,Scope: Jurisdiction-wide,Y,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html",,
51,Alaska,02,8101400565361.84,59249542.2017256,https://covid19.alaska.gov/health-mandates/,Effective Date: 3/28/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,Any size,
52,Republic of Palau,70,380016811.189453,154584.901461039,,,,,N,,,
53,United States Virgin Islands,78,384855817.202148,489105.491918712,https://www.vi.gov/wp-content/uploads/2020/03/2020-03.23-12-54pm-Order-Suppl-Exec-Order-re-Restrictions-to-Movement-Gatherings-Operations-of-Business-Govt.-and-Schools-fully-signed.pdf,Effective Date: 3/25/2020,Expiration Date: Until further notice,Scope: Jurisdiction-wide,Y,,,
54,Commonwealth of the Northern Mariana Islands,69,501016765.712891,415486.421004329,,,,,N,,,
55,Guam,66,578939652.783203,235719.287393978,,,,,N,,,
56,American Samoa,60,210180411.128906,237615.541462685,,,,,N,,All,https://6fe16cc8-c42f-411f-9950-4abb1763c703.filesusr.com/ugd/4bfff9_1c53b436c80f431f8238212df0a9bf6e.pdf
57,Puerto Rico,72,9947586939.41406,1603568.93609135,https://apnews.com/082ab059f77b925a535688e876f474e8,Effective Date: 4/11/2020,Expiration Date: 5/3/2020,Scope: Jurisdiction-wide,Y,https://www.trabajo.pr.gov/docs/Boletines/OE-2023Eng.pdf,Any size,
58,Republic of the Marshall Islands,68,229565235.319336,1554283.64226235,,,,,N,,,
59,Federated States of Micronesia,64,572196788.012695,282533.574324502,,,,,N,,,
